File,MaxDisplacement(m)
case1_H1_T6.sim,0.007209477480500936
case2_H1_T8.sim,0.018848633393645283
case3_H1_T10.sim,0.027899529784917828
case4_H1_T12.sim,0.03156966343522071
case5_H1_T14.sim,0.030639959499239918
case6_H2_T6.sim,0.011740728281438349
case7_H2_T8.sim,0.03375295177102088
case8_H2_T10.sim,0.05244610458612441
case9_H2_T12.sim,0.062438085675239556
case10_H2_T14.sim,0.06380948424339293
case11_H3_T6.sim,0.01679565384984016
case12_H3_T8.sim,0.04901085421442985
case13_H3_T10.sim,0.07747612893581389
case14_H3_T12.sim,0.09609902650117873
case15_H3_T14.sim,0.10399239510297774
case16_H4_T6.sim,0.023306308314204213
case17_H4_T8.sim,0.06352439522743224
case18_H4_T10.sim,0.10320102423429488
case19_H4_T12.sim,0.13134159147739408
case20_H4_T14.sim,0.14761753380298612
case21_H5_T6.sim,0.029844813048839566
case22_H5_T8.sim,0.07918448746204375
case23_H5_T10.sim,0.12905892729759214
case24_H5_T12.sim,0.16884873807430265
case25_H5_T14.sim,0.19559524953365323
